playerid,award,year,lgid,note,pos
allento01,Защитная команда года НФЛ,2010,NBA,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод."
allento01,Защитная команда года,2011,NBA,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод."
anderry01,Самый прогрессирующий игрок,2011,NBA,,
anthoca01,Все-НБА третий состав,2005,NBA,,"Добро пожаловать в Чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода."
anthoca01,Все-НБА третий состав,2006,NBA,,"Добро пожаловать в Чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода."
anthoca01,Все-НБА третий состав,2008,NBA,,"Добро пожаловать в Чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода."
anthoca01,Вторая сборная всех звезд НБА,2009,NBA,,"Добро пожаловать в Чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода."
anthoca01,Все-НБА третий состав,2011,NBA,,"Добро пожаловать в Чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода."
archina01,Вторая сборная всех звезд НБА,1971,NBA,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод."
archina01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1972,NBA,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод."
archina01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1974,NBA,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод."
archina01,"Ваша просьба не совсем ясна. Можете ли вы предоставить контекст или дополнительные детали относительно того, что именно вы хотите перевести?",1975,NBA,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод."
archina01,Вторая сборная всех звезд НБА,1980,NBA,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод."
arenagi01,Самый прогрессирующий игрок,2002,NBA,,
arenagi01,Все-НБА третий состав,2004,NBA,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод."
arenagi01,Все-НБА третий состав,2005,NBA,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод."
arenagi01,Вторая сборная всех звезд НБА,2006,NBA,,"Добро пожаловать в Coral! Я готов помочь вам с переводом любого текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю точный и естественный перевод."
armstda01,Самый прогрессирующий игрок,1998,NBA,,
armstda01,Шестой игрок года,1998,NBA,,
artesro01,Защитная команда года НФЛ,2002,NBA,,
artesro01,Защитная команда года,2003,NBA,,
artesro01,Все-НБА третий состав,2003,NBA,,"Добро пожаловать в Чат-бот Coral! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст для перевода."
