river,country,province
Дуро,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Кастилия и Леон
Впереди,"Доброго дня! Я готов допомогти вам з перекладу. Будь ласка, надайте текст, який потрібно перекласти.",Нижняя Саксония
Жёкульса-а-Фьорлюм,Ось,Исландия
Оранжевый,ЛС,Лесото
Лена,Р,Иркутская область
Рио-Маморе,Добл,Боливия
Кольорадо,США,Кольорадо
Река Маккензи,КДН,Северо-Западные территории
Гломма,"Да, конечно! Я всегда рад помочь. Какой текст вы хотите перевести?",Сёр Тронделаг
Семлики,ЗРЕ,Киву
Волга,Р,Тверская область
Минчо,я,Венето
Лех,А,Форарльберг
Лимпопо,RSA,Гутенг
Саскачеван-река,КДН,Альберта
Пой.,я,Пьемонте
Шилка,Р,Читинская область
Кулио,Анг,Лунда-Сул
Уэль,ЗРЕ,Верхняя Заир
Чёрный Дрин,Мк,Македония
Колыма,Р,Магаданская область
Амударья,Афг,Афганистан
Меконг,ТЖ,Тибет
Евфрат,ТР,Малатья
Гаронна,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",Каталония
Токантинс,Б,Гоа
Иордания,RL,Ливан
Саоне,"Да, я могу переводить с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Лотарингия
Висла,ПЛ,Белорусе
Ура́л,Р,Республика Башкортостан
Здравствуйте,ТЖ,Тибет
Да,Р,Тульская область
Кванго,Анг,Лунда-Сул
Ааре,Ч,"Привет! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести."
Фими,ЗРЕ,Бандунду
Рио Сан-Хуан,НИХ,Никарагуа
