playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
karpova01,,,Валери,Карпов,,Валери,,70,176,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",14889,2649,karpova01,1994,1996,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1971,8,5,Россия,,Челябинск,,,,,,
veillst01,,,Степан,Вейло,,,,73,193,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",20283,43803,veillst01,2002,2011,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1981,11,16,Канада,КВ,Сент-Бэуствилл,,,,,,
rontypa01,,,Пωλ,Ронты,,Пωλ,Чить,72,160,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",14172,4655,rontypa01,1947,1954,,,С,1928,6,12,Канада,Да,Торонто,,,,,,
lehtije01,,,Иеремия,Лехтинен,,Иеремия,,72,192,Р,10930,3088,lehtije01,1995,2009,,,Р,1973,6,24,Финляндия,,еспо,,,,,,
zubaran01,,,Andrei,Зубарев,,,,73,210,,,,zubaran01,2010,2010,,,Да,1987,3,3,Россия,,Уфа,,,,,,
hendrjo02,,,Иордания,Генри,,,,72,196,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",22151,72357,hendrjo02,2007,2010,,,Да,1984,2,23,Канада,СК,Нокомис,,,,,,
smithcl01,,smithcl01h,Клинт,Смит,,Клинтон Джеймс,Снуфи,68,165,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",P199104,13316,smithcl01,1936,1946,,,С,1913,12,12,Канада,СК,Ассинибоя,2009,5,19,Канада,БЦ,Ванкувер
lalormi01,,,Майк,Лалор,,Майкл Джон,,72,200,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",10879,2925,lalormi01,1985,1996,,,Да,1963,3,8,Канада,Да,Форт-Эри,,,,,,
deyed01,,,Эдгар,Дей,,Эдгар Э.,Эд,69,170,,,1352,,,,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1883,,,Канада,Да,Оттава,1912,2,12,,,
globkro01,,,Роб,Глобке,,,,74,208,Р,20516,55618,globkro01,2005,2007,,,Р,1982,10,24,США,МИ,Фармингтон,,,,,,
adamsgr02,,,Грег,Адамс,,Грегори Дарен,Гус/Сова,75,195,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",10003,6237,adamsgr02,1984,2000,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1963,8,15,Канада,БЦ,Нельсон,,,,,,
frycemi01,,,Мирослав,Фрейзер,,Мирослав Опава,Мирко,72,200,Р,12656,1792,frycemi01,1981,1988,,,Р,1959,9,27,Чехия,,Опава,,,,,,
brashdo01,,,Дональд,Брэшер,,Дональд,Браш/Гуги,74,235,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",14952,550,brashdo01,1993,2009,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1972,1,7,США,В,Бедфорд,,,,,,
ruhnkke01,,,Кент,Рунке,,Кент Стюарт,,73,190,Р,14196,12046,ruhnkke01,1975,1975,1976,1977,Р,1952,9,18,Канада,Да,Торонто,,,,,,
,kinasra01c,,Рэй,Кинасевич,,Рэймонд,,,,,,12371,kinasra99c,,,,,,1933,9,12,Канада,АБ,Смоки-Лейк,,,,,,
mickaji01,,,Иджинри́х,Мика,,,,,,,,,mickaji01,,,1978,1978,,,,,,,,,,,,,
balach01,,,Крис,Бала,,,,73,196,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",16630,35439,balach01,2001,2001,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1978,9,24,США,ВА,Александрия,,,,,,
murrach01,,,Крис,Мэри,,Крис,,74,213,Р,15081,13787,murrach01,1994,1999,,,Р,1974,10,25,Канада,БЦ,Порт-Хардэи,,,,,,
nabokdm01,,,Дмитрий,Набоков,,Дмитрий,,74,209,Р,10686,14465,nabokdm01,1997,1999,,,С,1977,1,4,Россия,,Новосибирск,,,,,,
hyvonha01,,,Ханнесс,Хыволейнен,,,,74,200,Р,19395,40220,hyvonha01,2001,2002,,,Р,1975,8,29,Финляндия,,Улу,,,,,,
hillge01,,,Джордж,Гора,,Джордж,,,,,,,,,,,,,,,,,,,,,,,,
falkju01,,,Джастин,Фолк,,,,77,215,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",,84684,falkju01,2009,2011,,,Да,1988,10,11,Канада,МБ,Снеговик,,,,,,
aubinno01,,,Норма,Абин,,Норман,,72,185,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11882,129,aubinno01,1981,1982,,,С,1960,7,26,Канада,КВ,Святой Leonard,,,,,,
hawgogr01,,,Грег,Хавгуд,,Грегори Уильям,,70,190,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",10622,2200,hawgogr01,1987,2001,,,Да,1968,8,10,Канада,АБ,Эдмонтон,,,,,,
gottsjo01,gottsjo01c,,Джонни,Боже милостивый,,Джон Питер,,71,158,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",12756,1980,gottsjo01,1928,1944,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1905,6,24,Россия,,Одесса,1986,5,15,США,ЕЛ,Эльмхерст
littlne01,,,Нил,Маленький,,,,73,193,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",18325,3167,littlne01,2001,2003,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1971,12,18,Канада,АБ,Медицинский шляп,,,,,,
ryante02,,,Тери,Райан,,Теренс Клинтон Джон,,70,178,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",,7694,ryante02,,,1972,1972,С,1952,9,10,Канада,"Да, конечно! Я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю вам точный перевод на русский язык.",Большие водопады,,,,,,
cechmro01,,,Рома́н,Цехманек,,,,75,187,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",19725,51275,cechmro01,2000,2003,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1971,3,2,Чехия,,Готвальдова,,,,,,
anderjo04,,,Джоаким,Андерссон,,,,74,198,,,,anderjo03,2011,2011,,,С,1989,2,5,,,,,,,,,
lesiear01,,,Искусство,Лесьер,,Артур,,71,191,Р,13378,17002,lesiear01,1928,1935,,,Да,1907,9,13,США,МА,Фолл-Ривер,1967,12,31,,,
ennisji01,,,Джим,Эни́с,,Джеймс,,72,200,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",12551,1568,ennisji01,1987,1987,,,Да,1967,7,10,Канада,АБ,Шервуд-Парк,,,,,,
cliffky01,,,Кайл,Клиффорд,,,,74,207,,,,cliffky01,2010,2011,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1991,1,13,Канада,Да,Аир,,,,,,
gauthde01,,,Денис,Гато,,Денис,,75,224,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",10590,19321,gauthde01,1997,2008,,,Да,1976,10,1,Канада,КВ,Монреаль,,,,,,
kavanpa01,,,Пэт,Кевин,,,,75,192,Р,11252,25855,kavanpa01,2000,2005,,,Р,1979,3,14,Канада,Да,Оттава,,,,,,
vishniv01,,,Иван,Вишневский,,,,71,176,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",21950,89564,vishniv01,2008,2009,,,Да,1988,2,18,Россия,,Барнаул,,,,,,
madilje01,,,Джефф,Мадилл,,Джеффри Г.,Огурец,71,195,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",10997,3315,madilje01,1990,1990,,,Р,1965,6,21,Канада,Да,Ошава,,,,,,
keonda01,,keonda01h,Дэйв,Кеон,,Дэвид Майкл,,69,165,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",P198602,2691,keonda01,1960,1981,1975,1978,С,1940,3,22,Канада,КВ,Роуэн-Норанда,,,,,,
coulsda01,,,Дарси,Кульсон,,Дарси Джон,,71,175,Р,12346,22889,coulsda01,1930,1930,,,Да,1908,2,17,Канада,Да,Саблеса,1996,4,13,Канада,КВ,Лусквилл
ruututu01,,,Туомо,Рутт,,,,72,200,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",20232,50514,ruututu01,2003,2011,,,С,1983,2,16,Финляндия,,Ванта,,,,,,
ravlima01,,,Мэтт,Равлич,,Мэттью Джозеф,,70,185,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",14080,4463,ravlima01,1962,1972,,,Да,1938,7,12,Канада,Да,Сьют-Сент-Мари,,,,,,
upshasc01,,,Скотти,Упшалл,,,,72,197,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",20511,55361,upshasc01,2002,2011,,,Р,1983,10,7,Канада,АБ,Форт-Мюррей,,,,,,
douripe01,,,Питер,Дурис,,Питер В.,,73,195,Р,10383,1419,douripe01,1985,1997,,,Р,1966,2,19,Канада,Да,Торонто,,,,,,
bauerbo01,,bauerbo01h,Бобби,Бауер,,Роберт Теодор,,66,150,Р,P199601,11442,bauerbo01,1936,1951,,,Р,1915,2,16,Канада,Да,Ватерлоо,1964,9,16,,,
wongmi01,,,Майк,Вонг,,Майкл Энтони,,75,204,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",14720,6650,wongmi01,1975,1975,,,С,1955,1,14,США,"MN - ""Минимальная 전국альная зарплата""",Миннеаполис,,,,,,
henriad01,,,Адам,Генрих,,,,72,200,,,,henriad01,2010,2011,,,С,1990,2,6,Канада,Да,Брантфорд,,,,,,
vanimda01,,,Даррен,Ван Импе,,Даррен Сирил,Гимп,73,205,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11477,5536,vanimda01,1994,2002,,,Да,1973,5,18,Канада,СК,Саскатун,,,,,,
mcdonhu01,,,Хаби,Макдоног,,Хаберт Брайан,,69,180,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11064,3548,mcdonhu01,1988,1992,,,С,1963,7,8,США,НХ,Манчестер,,,,,,
wrighjo01,,,Иоанн,райт,,Джон Гилберт Бреертон,,71,175,Р,14725,5806,wrighjo01,1972,1974,,,С,1948,11,9,Канада,Да,Торонто,,,,,,
lynchja01,,,Джек,Линч,,Джон Аллен,,74,180,Р,13445,3250,lynchja01,1972,1978,,,Да,1952,5,28,Канада,Да,Торонто,,,,,,
cartely01,,,Лайл,Кеттл,,Лайл Двайт,,73,185,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",18461,6833,cartely01,1971,1971,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1945,4,29,Канада,Н/Д,Трурок,,,,,,
poulima01,,,Марк-Антуан,Пуолиот,,,,73,195,Р,20900,61459,poulima01,2005,2011,,,С,1985,5,22,Канада,КВ,Кبک,,,,,,
lawsoda01,,,Дэнни,Лоусон,,Даниэл Майкл,,71,180,Р,13334,3020,lawsoda01,1967,1971,1972,1976,Р,1947,10,30,Канада,Да,Торонто,,,,,,
zhamnal01,,,Алекс,Жамнов,,Алексей,,73,204,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11793,5860,zhamnal01,1992,2005,,,С,1970,10,1,Россия,,Москва,,,,,,
derouph01,,,Филипп,Дероувиль,,Филипп,,73,185,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",18248,1296,derouph01,1994,1996,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1974,8,7,Канада,КВ,Викториявилл,,,,,,
guitebe01,,,Бен,Гуйе,,,,73,211,Р,17503,29321,guitebe01,2005,2009,,,С,1978,7,17,Канада,КВ,Монреаль,,,,,,
rickero01,,,Рой,Рикки,,Рой,,,,,,27709,,,,,,Да,,,,,,,,,,,,
macdela01,,,Лейн,Макдермид,,,,75,205,,,,macdela01,2011,2011,,,Да,1989,8,25,,,,,,,,,
brownro01,,,Роб,Коричневый,,Роберт,,70,177,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",10181,619,brownro01,1987,1999,,,Р,1968,4,10,Канада,Да,Кингстон,,,,,,
pardyad01,,,Адам,Партии,,,,76,211,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",21431,70582,pardyad01,2008,2011,,,Да,1984,5,29,Канада,"Да, конечно! Я могу помочь с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести, и я предоставлю вам точный перевод на русский язык.",Бонавист,,,,,,
leopojo01,,,Иордания,Леопольд,,,,73,200,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",19165,42548,leopojo01,2002,2011,,,Да,1980,8,3,США,"MN - ""Минимальная 전국альная зарплата""",Золотой Дол,,,,,,
cassemi01,,,Майк,Кассельман,,Майкл С.,,71,190,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",10230,751,cassemi01,1995,1995,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1968,8,23,Канада,Да,Моррисбург,,,,,,
nichoal01,,,Ал,Николсон,,Аллан Дуглас,,73,180,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",13842,10652,nichoal01,1955,1956,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1936,4,26,Канада,СК,Эстеван,1978,,,,,
brustba01,,,Барри,Бруст,,,,74,210,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",20624,55460,brustba01,2006,2006,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1983,8,8,Канада,МБ,Львиная река,,,,,,
hewarja01,,,Джейми,Хевард,,Джейми,Хейви,74,215,Р,10640,2260,hewarja01,1995,2008,,,Да,1971,3,30,Канада,СК,Регина,,,,,,
arnasch01,,,Чак,Арнасон,,Эрнест Чарльз,,70,183,Р,11871,109,arnasch01,1971,1978,,,Р,1951,7,15,Канада,МБ,Ашерн,,,,,,
hugheja01,,,Джеймс,Хьюзес,,Джеймс Ромли,Ржавый,69,190,Р,13037,22857,hugheja01,1929,1929,,,Да,1906,5,12,Канада,Да,Веббвуд,1983,1,4,,,
boycear01,,,Искусство,Бойс,,Артур,,,,,,,,,,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",,,,,,,,,,,,
mossda01,,,Дэвид,Мосс,,,,75,200,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",20397,56760,mossda01,2006,2011,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1981,12,28,США,МИ,Ливония,,,,,,
pihlsan01,,,Анти,Фихстром,,,,70,181,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",22469,76156,pihlsan01,2007,2008,,,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",1984,10,22,Финляндия,,Ванта,,,,,,
jacksha01,,,Геральдо,Джексон,,Хэролд Расселл,Хэл,72,195,Р,13068,2489,jacksha01,1936,1946,,,Да,1918,8,1,Канада,Да,Кедровые Крутки,1997,1,30,,,
allenvi01,,,Вив,Аллен,,Виван Маринер,Скуй!,66,140,Р,11828,14216,allenvi01,1940,1940,,,Р,1916,9,9,Канада,НБ,Бейфилд,1995,,,,,
konstev01,,,Евгений,Константинов,,,,72,176,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",19312,47623,konstev01,2000,2002,,,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",1981,3,29,Россия,,Казань,,,,,,
morribr01,,,Брэдан,Моррисон,,Брэдан,,71,181,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",14801,3806,morribr01,1997,2011,,,С,1975,8,15,Канада,БЦ,Питт-Миддлз,,,,,,
guevrjo01,,,Джоклин,Гевремонт,,Джоклин Марсел,Биг Джош/Джос,74,200,Р,12796,2061,guevrjo01,1971,1979,,,Да,1951,3,1,Канада,КВ,Монреаль,,,,,,
emingst01,,,Стив,Эмингер,,,,74,211,Р,20513,50150,emingst01,2002,2011,,,Да,1983,10,31,Канада,Да,Торонто,,,,,,
anholda01,,,Даррел,Анхольт,,Даррел,,74,230,"Добро пожаловать в Coral, ваш дружелюбный помощник чат-бот, готовый помочь вам переводить тексты с английского на русский язык и обратно. Как я могу помочь вам сегодня? Пожалуйста, предоставьте текст, который вы хотите перевести.",11853,88,anholda01,1983,1983,,,Да,1962,11,23,Канада,АБ,Хардист,,,,,,
mcdonja02,,,Джек,Макдональд,,Джон Альберт,,71,205,Р,13624,13825,mcdonja02,1943,1943,,,Р,1921,11,24,Канада,МБ,Львиная река,1958,1,24,,,
