lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
126,aldremi01,,,1961.0,1.0,29.0,США,Калифорния,Кармель,,,,,,,Майк,Альдрите,,Майкл Питер,,180.0,71.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",5/28/1986,9/29/1996,Стэнфорд,aldremi01,aldremi01,aldrm001,aldremi01,aldremi01
127,aldrija01,,,1961.0,4.0,14.0,США,Лос-Анджелес,Alexандрия,,,,,,,Джей,Альдрих,,Джей Роберт,,210.0,75.0,R,R,6/5/1987,4/26/1990,Штат Монтклейн,aldrija01,aldrija01,aldrj001,aldrija01,aldrija01
132,alexada01,,,1903.0,4.0,26.0,США,ТН,Гринвилл,1979.0,3.0,2.0,США,ТН,Гринвилл,Дейл,Александр,,Дэвид Дейл,Лошадь,210.0,75.0,R,R,4/16/1929,9/23/1933,,alexada01,alexada01,alexd101,alexada01,alexada01
136,alexahu01,,,1917.0,7.0,10.0,США,МО,Баффало,2000.0,11.0,25.0,США,МО,Баффало,Хьюдж,Александр,,Хьюдж,,190.0,72.0,R,R,8/15/1937,9/22/1937,,alexahu01,alexahu01,alexh101,alexahu01,alexahu01
137,alexama02,,,1971.0,3.0,20.0,Д.Р.,,Сан-Педро-де-Макорис,,,,,,,Мэнни,Александр,Рожденный как Мануэль Де Иисус (Александр).,Мануэль де Иисус,,150.0,70.0,R,R,9/18/1992,9/28/2006,,alexama02,alexama02,alexm001,alexama02,alexama02
142,alfonan01,,,1972.0,4.0,16.0,Д.Р.,,Ла-Романа,,,,,,,Антонио,Альфонсека,,Антонио,"""Овцепус""",250.0,77.0,R,R,6/17/1997,9/23/2007,,alfonan01,alfonan01,alfoa001,alfonan01,alfonan01
150,allenbo03,,,1914.0,7.0,2.0,США,ТН,Смитвилл,2005.0,10.0,30.0,США,Ва,Чесапик,Боб,Аллен,,Роберт Эрл,Тонкий человек,165.0,73.0,R,R,9/19/1937,10/2/1937,,allenbo03,allenbo03,alleb102,allenbo03,allenbo03
157,allenha01,,,1846.0,4.0,20.0,США,Я,Августа,1881.0,2.0,6.0,США,МА,Натик,Хам,Аллен,,Франк Эрвин,,,64.0,,,4/27/1872,8/9/1872,,allenha01,allenha01,alleh102,allenha01,allenha01
158,allenha02,,,1940.0,7.0,23.0,США,ПА,Вампум,,,,,,,Хенк,Аллен,,Гарольд Эндрю,,190.0,72.0,R,R,9/9/1966,9/28/1973,,allenha02,allenha02,alleh104,allenha02,allenha02
164,allenjo02,,allenjo02h,1904.0,9.0,30.0,США,НГ,Ленор,1959.0,3.0,29.0,США,ФЛ,Санкт-Петербург,Джонни,Аллен,,Джон Томас,,180.0,72.0,R,R,4/19/1932,9/26/1944,,allenjo02,allenjo02,allej102,allenjo02,allenjo02
166,allenll01,,,1950.0,5.0,8.0,США,Калифорния,Мерседес,,,,,,,Ллойд,Аллен,,Ллойд Сесил,,185.0,73.0,R,R,9/1/1969,7/27/1975,,allenll01,allenll01,allel101,allenll01,allenll01
167,allenmy01,,,1854.0,3.0,22.0,США,Нью-Йорк,Кингстон,1924.0,3.0,8.0,США,Нью-Йорк,Кингстон,Майрон,Аллен,,Майрон Смит,Зик,150.0,68.0,R,R,7/19/1883,7/1/1888,,allenmy01,allenmy01,allem101,allenmy01,allenmy01
176,alleyge01,,alleyge01h,1940.0,7.0,10.0,США,Ва,Ричмонд,,,,,,,Гене,Аллея,,Леонард Иноэ,,160.0,70.0,R,R,9/4/1963,9/27/1973,,alleyge01,alleyge01,alleg101,alleyge01,alleyge01
180,allisar01,,,1849.0,1.0,29.0,США,ПА,Филиадельфиа,1916.0,2.0,25.0,США,ДК,Вашингтон,Искусство,Алисон,,Артур Алгернон,,150.0,68.0,,,5/4/1871,,,allisar01,allisar01,allia101,allisar01,allisar01
202,aloumo01,,,1966.0,7.0,3.0,США,GA,Атланта,,,,,,,Моисей,Алу,Рохас Моисес,Моисей Рохас,,185.0,75.0,R,R,7/26/1990,6/10/2008,Канада,aloumo01,aloumo01,aloum001,aloumo01,aloumo01
205,alstoga01,,,1971.0,12.0,8.0,США,Нью-Йорк,Маунт-Вернон,,,,,,,Гарвин,Альстон,,Гарвин Джеймс,,185.0,74.0,R,R,6/6/1996,6/18/1996,Флоридский международный,alstoga01,alstoga01,alstg001,alstoga01,alstoga01
208,altampo01,,,1952.0,5.0,17.0,Никарагуа,,Дарилло,,,,,,,Порфи,Альтамирано,,Порфирио (Рамирес),,175.0,72.0,R,R,5/9/1982,6/8/1984,,altampo01,altampo01,altap001,altampo01,altampo01
245,anderbo01,,,1935.0,9.0,29.0,США,В,Восточный Чикаго,,,,,,,Боб,Андерсон,,Роберт Карл,,210.0,76.0,R,R,7/31/1957,9/25/1963,,anderbo01,anderbo01,andeb102,anderbo01,anderbo01
250,anderda01,,,1868.0,10.0,10.0,США,ПА,Честер,1897.0,3.0,22.0,США,ПА,Честер,Дэйв,Андерсон,,Дэвид С.,,,,,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",8/24/1889,9/29/1890,,anderda01,anderda01,anded102,anderda01,anderda01
262,anderjo01,,,1873.0,12.0,14.0,Норвегия,,Сарпсборг,1949.0,7.0,23.0,США,МА,Уорцистер,Джон,Андерсон,,Джон Джозеф,Хонест Джон,180.0,74.0,В.,R,9/8/1894,10/2/1908,,anderjo01,anderjo01,andej101,anderjo01,anderjo01
267,anderma01,,,1976.0,8.0,17.0,США,КЕ,Луизвилл,,,,,,,Мэтт,Андерсон,,Матвей Джейсон,,200.0,76.0,R,R,6/25/1998,7/1/2005,,anderma01,anderma01,andem002,anderma01,anderma01
276,anderwa01,,,1897.0,9.0,25.0,США,МИ,Гранд-Рапиды,1990.0,1.0,6.0,США,МИ,Битва-Крик,Уолтер,Андерсон,,Уолтер Карл,Левша,160.0,74.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",5/14/1917,5/2/1919,,anderwa01,anderwa01,andew102,anderwa01,anderwa01
277,anderwi01,,,1886.0,8.0,13.0,США,ТХ,Лиллян,1950.0,12.0,19.0,США,ТХ,Форт-Уорт,Винго,Андерсон,,Винго Чарли,,150.0,70.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",4/16/1910,6/1/1910,,anderwi01,anderwi01,andew101,anderwi01,anderwi01
278,andrejo01,,,1923.0,1.0,3.0,США,МА,Броктон,1976.0,11.0,25.0,США,МА,Центровille,Джон,Андрей,,Джон Эдвард,,200.0,76.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,4/16/1955,7/16/1955,,andrejo01,andrejo01,andrj102,andrejo01,andrejo01
282,andreed01,,,1859.0,4.0,5.0,США,ОХ,Пайнсвилл,1934.0,8.0,12.0,США,ФЛ,В. Палм-Бич,Эд,Андрэй,,Джордж Эдвард,,160.0,68.0,R,R,5/1/1884,7/26/1891,,andreed01,andreed01,andre101,andreed01,andreed01
284,andrefr01,,,1952.0,5.0,4.0,США,Лос-Анджелес,Ла Файет,,,,,,,Фред,Андрэй,,Фред,,163.0,68.0,R,R,9/26/1976,10/2/1977,,andrefr01,andrefr01,andrf101,andrefr01,andrefr01
285,andrehu01,,,1922.0,8.0,31.0,США,"Добро пожаловать в чат-бота для перевода! Я готов помочь вам перевести текст с английского на русский язык. Просто введите текст, который вы хотите перевести, и я предоставлю вам точный перевод.",Бербанк,,,,,,,Хаб,Андрэй,,Херберт Карл,,170.0,72.0,R,R,4/20/1947,4/30/1948,,andrehu01,andrehu01,andrh101,andrehu01,andrehu01
291,andrero01,,,1952.0,12.0,11.0,США,Калифорния,Санта-Моника,,,,,,,Роб,Андрэй,,Роберт Патрик,,185.0,72.0,R,R,4/7/1975,9/26/1979,Эль Камино JC,andrero01,andrero01,andrr101,andrero01,andrero01
304,annisbi01,,,1857.0,3.0,8.0,США,МА,Стоунхам,1923.0,6.0,10.0,США,Я,Кенебунпорт,Билл,Анна,,Уильям Перли,,150.0,67.0,R,,5/1/1884,8/8/1884,,annisbi01,annisbi01,annib101,annisbi01,annisbi01
312,apodabo01,,,1950.0,1.0,31.0,США,Калифорния,Лос-Анджелес,,,,,,,Боб,Аподака,,Роберт Джон,,170.0,71.0,R,R,9/18/1973,9/18/1977,,apodabo01,apodabo01,apodb101,apodabo01,apodabo01
314,appieke01,,appieke01h,1967.0,12.0,6.0,США,Калифорния,Ланкастер,,,,,,,Кевин,Аппиер,,Роберт Кевин,Оп,180.0,74.0,R,R,6/4/1989,4/23/2004,Фресно Стейт,appieke01,appieke01,appik001,appieke01,appieke01
315,applefr01,,,1879.0,5.0,9.0,США,ПА,Уильямспорт,1968.0,4.0,21.0,США,ПА,Уильямспорт,Фред,Эпплгейт,,Фредерик Ромейн,,180.0,74.0,R,R,9/30/1904,10/10/1904,,applefr01,applefr01,applf101,applefr01,applefr01
318,applilu01,applilu01m,applilu01h,1907.0,4.0,2.0,США,НГ,Высокий пункт,1991.0,1.0,3.0,США,GA,Кумминг,Луки,Приклады,,Льюис Бенджамин,"Старая боль и боли, Люк-чудесный",183.0,70.0,R,R,9/10/1930,10/1/1950,,applilu01,applilu01,appll101,applilu01,applilu01
319,aquinlu01,,,1964.0,5.0,19.0,П.Р.,,Сан-Турсе,,,,,,,Луис,Акино,,Луис Антонио (Колон),,155.0,72.0,R,R,8/8/1986,9/12/1995,,aquinlu01,aquinlu01,aquil001,aquinlu01,aquinlu01
323,archefr01,,,1910.0,3.0,7.0,США,ТН,Джонсон-Сити,1981.0,10.0,31.0,США,НГ,Шарлотта,Фред,Арчер,,Фредерик Марвин,Левша,193.0,72.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",9/5/1936,9/9/1937,,archefr01,archefr01,archf101,archefr01,archefr01
324,archeji02,,,1932.0,5.0,25.0,США,Ва,МаксMeadоуз,,,,,,,Джим,Арчер,,Джеймс Уильям,,190.0,72.0,R,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",4/30/1961,9/19/1962,,archeji02,archeji02,archj101,archeji02,archeji02
330,ardnejo01,,,1858.0,2.0,27.0,США,ОХ,Маунт-Вернон,1935.0,9.0,15.0,США,ОХ,Кливленд,Джо,Арндер,,Иозеф А.,Старая Хосс,160.0,,R,R,5/1/1884,8/18/1890,,ardnejo01,ardnejo01,ardnj101,ardnejo01,ardnejo01
342,armasto02,,,1978.0,4.0,29.0,Венесуэла,,Пуэрто-Пириту,,,,,,,Тони,оружие,,Антонио Хосе,,205.0,76.0,R,R,8/16/1999,7/7/2008,,armasto02,armasto02,armat002,armasto02,armasto02
351,armstja01,,,1965.0,3.0,7.0,США,НГ,Энглевуд,,,,,,,Джек,Аромстронг,,Джек Уильям,,220.0,77.0,R,R,6/21/1988,4/17/1994,Оклахома,armstja01,armstja01,armsj001,armstja01,armstja01
356,arnolch01,,,1947.0,11.0,6.0,США,Калифорния,Долгий-Бич,,,,,,,Крис,Арнольд,,Кристофер Пол,,160.0,70.0,R,R,9/7/1971,10/2/1976,,arnolch01,arnolch01,arnoc101,arnolch01,arnolch01
357,arnolja01,,,1974.0,3.0,24.0,США,МИ,Дирборн,,,,,,,Джейми,Арнольд,,,,190.0,74.0,R,R,4/20/1999,10/1/2000,,arnolja01,arnolja01,arnoj001,arnolja01,arnolja01
366,arroybr01,,,1977.0,2.0,24.0,США,ФЛ,Ки-Уэст,,,,,,,Бронсон,Арройо,,,Юпитеровые орехи,195.0,76.0,R,R,6/12/2000,,,arroybr01,arroybr01,arrob001,arroybr01,arroybr01
372,asadora01,,,1962.0,10.0,20.0,США,Калифорния,Фресно,,,,,,,Рэнди,Асаадур,,Рэндалл Карл,,185.0,73.0,R,R,9/14/1986,10/5/1986,Фресно Стейт,asadora01,asadora01,asadr001,asadora01,asadora01
373,asbelji01,,,1914.0,6.0,22.0,США,ТХ,Даллас,1967.0,7.0,6.0,США,Калифорния,Сан-Матео,Джим,Асбелл,,Джеймс Марион,Большой поезд,195.0,72.0,R,R,5/8/1938,10/2/1938,,asbelji01,asbelji01,asbej101,asbelji01,asbelji01
383,asproke01,asproke01m,,1931.0,9.0,22.0,США,Нью-Йорк,Бруклин,,,,,,,Кен,Аспромонте,,Кеннет Джозеф,,180.0,72.0,R,R,9/2/1957,6/21/1963,,asproke01,asproke01,asprk101,asproke01,asproke01
386,astacpe01,,,1969.0,11.0,28.0,Д.Р.,,Хато-Майор,,,,,,,Педро,Астасио,,Педро-Джулио (Пура),,174.0,74.0,R,R,7/3/1992,9/27/2006,,astacpe01,astacpe01,astap001,astacpe01,astacpe01
389,atherch01,,,1874.0,11.0,19.0,США,НГ,Новый Бразиль,1934.0,12.0,19.0,Австрия,,Вена,Чарли,Атертон,,Чарльз Морган Герберт,Президент,160.0,70.0,R,R,5/30/1899,8/22/1899,,atherch01,atherch01,athec101,atherch01,atherch01
390,atherke01,,,1959.0,2.0,19.0,США,Ва,Ньюпорт-Ньюс,,,,,,,Кейтх,Атертон,,Кит Роу,,200.0,76.0,R,R,7/14/1983,8/5/1989,,atherke01,atherke01,athek001,atherke01,atherke01
391,atkinja01,,,1921.0,3.0,10.0,США,АЛ,Бирмингем,,,,,,,Джеймс,Аткинс,,Джеймс Куртис,,205.0,75.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,9/29/1950,5/10/1952,,atkinja01,atkinja01,atkij101,atkinja01,atkinja01
414,austde01,,,1940.0,11.0,25.0,США,НЕ,Текумсе,,,,,,,Деннис,Австрия,,Деннис Кей,,180.0,71.0,R,R,9/6/1965,5/7/1966,,austde01,austde01,austd101,austde01,austde01
417,austiji02,,,1963.0,12.0,7.0,США,Ва,Фарнвилл,,,,,,,Джим,Остин,,Джеймс Паркер,,200.0,74.0,R,R,7/4/1991,7/20/1993,Виргиния Коммонвелт,austiji02,austiji02,austj001,austiji02,austiji02
431,ayalabo01,,,1969.0,7.0,8.0,США,Калифорния,Вентура,,,,,,,Бобби,Айала,,Роберт Джозеф,,190.0,74.0,R,R,9/5/1992,10/2/1999,,ayalabo01,ayalabo01,ayalb002,ayalabo01,ayalabo01
435,ayersdo01,,,1891.0,5.0,21.0,США,Ва,Слоновая река,1968.0,5.0,26.0,США,Ва,Пуласки,Документ,Эйерс,,Янцы Ветт,,185.0,73.0,R,R,9/9/1913,5/21/1921,,ayersdo01,ayersdo01,ayerd101,ayersdo01,ayersdo01
442,babcobo01,,,1949.0,8.0,25.0,США,ПА,Новый замок,,,,,,,Боб,Бэбкок,,Роберт Эрнест,,210.0,77.0,R,R,7/22/1979,6/11/1981,Бейкерский округ КК,babcobo01,babcobo01,babcb101,babcobo01,babcobo01
447,backmle01,,,1888.0,3.0,20.0,США,ОХ,Клёвс,1975.0,11.0,8.0,США,ОХ,Цинциннати,Лес,Бэкман,,Лестер Джон,,195.0,72.0,R,R,7/3/1909,8/28/1910,,backmle01,backmle01,backl101,backmle01,backmle01
455,badgrre01,,,1902.0,12.0,1.0,США,"Ваш запрос не содержит текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью выполню вашу просьбу.",Ориллия,1998.0,7.0,13.0,США,"Ваш запрос не содержит текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью выполню вашу просьбу.",Кент,красный,Бадгро,,Моррис Хирам,,190.0,72.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,6/20/1929,9/18/1930,,badgrre01,badgrre01,badgr101,badgrre01,badgrre01
459,baezda01,,,1977.0,9.0,10.0,Куба,,Пинар-дель-Рио,,,,,,,Даныс,Бэз,,Денис (Гонсалес),,225.0,75.0,R,R,5/13/2001,,,baezda01,baezda01,baezd001,baezda01,baezda01
469,baichgr01,,,1890.0,1.0,7.0,США,ИЛ,Толедо,1946.0,6.0,30.0,США,Калифорния,Сан-Хосе,Грувер,Бэйклей,,Гровер Кливленд,,165.0,68.0,R,R,8/24/1914,9/4/1914,,baichgr01,baichgr01,baicg101,baichgr01,baichgr01
472,bailebi02,,,1881.0,11.0,19.0,США,ОХ,Шауни,1967.0,10.0,27.0,США,"Ваш запрос не содержит текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью выполню вашу просьбу.",Сиэтл,Билл,Бейли,,Гарри Льюис,,170.0,70.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,4/21/1911,5/27/1911,,bailebi02,bailebi02,bailb102,bailebi02,bailebi02
474,baileco01,,,1971.0,1.0,24.0,США,ИЛ,Марион,,,,,,,Кори,Бейли,,Филипп Кори,,195.0,72.0,R,R,9/1/1993,7/3/2002,,baileco01,baileco01,bailc001,baileco01,baileco01
476,bailefr01,,,1895.0,8.0,16.0,США,Западная Вирджиния,Гора Надежда,1972.0,8.0,16.0,США,Западная Вирджиния,Хантингтон,Фред,Бейли,,Фредерик Миддлтон,Пенни,150.0,71.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",8/19/1916,4/27/1918,,bailefr01,bailefr01,bailf101,bailefr01,bailefr01
501,bakerde01,bakerde01m,,1892.0,5.0,3.0,США,О́,Шервуд,1973.0,9.0,11.0,США,ТХ,Сан-Антонио,Дел,Пекарь,,Делмер Дэвид,,176.0,71.0,R,R,4/16/1914,9/30/1916,,bakerde01,bakerde01,baked102,bakerde01,bakerde01
503,bakerdu01,bakerdu01m,bakerdu01h,1949.0,6.0,15.0,США,Калифорния,Риверсайд,,,,,,,Пылающий,Пекарь,,Джонни Б. (мл.),,183.0,74.0,R,R,9/7/1968,10/4/1986,Американский реку JC,bakerdu01,bakerdu01,baked002,bakerdu01,bakerdu01
513,bakerje01,,,1888.0,6.0,3.0,США,"Ваш запрос не содержит текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью выполню вашу просьбу.",Остров Андерсон,1972.0,9.0,26.0,США,"Ваш запрос не содержит текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью выполню вашу просьбу.",Такома,Джессе,Пекарь,,Джесси Ормонд,,188.0,71.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",4/23/1911,9/4/1911,,bakerje01,bakerje01,bakej101,bakerje01,bakerje01
514,bakerje02,,,1895.0,3.0,4.0,США,ОХ,Кливленд,1976.0,7.0,29.0,США,Калифорния,В. Лос-Анджелес,Джессе,Пекарь,Рожденный Майкл Мирон Сильверман,Джессе,,140.0,64.0,R,R,9/14/1919,9/14/1919,,bakerje02,bakerje02,bakej104,bakerje02,bakerje02
522,bakerto02,,,1934.0,5.0,6.0,США,"Ваш запрос не содержит текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью выполню вашу просьбу.",Порт-Тунсенд,1980.0,3.0,9.0,США,"Ваш запрос не содержит текста для перевода. Пожалуйста, предоставьте текст, который необходимо перевести, и я с радостью выполню вашу просьбу.",Порт-Тунсенд,Том,Пекарь,,Томас Генри,,195.0,72.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",8/2/1963,9/14/1963,,bakerto02,bakerto02,baket102,bakerto02,bakerto02
523,bakertr01,,,1891.0,11.0,7.0,США,О́,Пендлтон,1975.0,3.0,14.0,США,Калифорния,Плайсервилл,Трейси,Пекарь,,Трейс Ли,,180.0,73.0,R,R,6/19/1911,6/19/1911,,bakertr01,bakertr01,baket101,bakertr01,bakertr01
538,baldwla01,,,1859.0,4.0,8.0,США,Нью-Йорк,Орамель,1937.0,3.0,7.0,США,МИ,Гастингс,Леди,Балдвин,,Чарльз Б.,,160.0,71.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",9/30/1884,6/26/1890,,baldwla01,baldwla01,baldl101,baldwla01,baldwla01
543,balejo01,,,1974.0,5.0,22.0,США,МД,Чеверли,,,,,,,Джон,Бале,,,,195.0,76.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",9/30/1999,,,balejo01,balejo01,balej001,balejo01,balejo01
546,balfogr01,,,1977.0,12.0,30.0,Австралия,,Сидней,,,,,,,Грант,Бальфур,,,,195.0,74.0,R,R,7/22/2001,,,balfogr01,balfogr01,balfg001,balfogr01,balfogr01
549,ballji01,,,1884.0,2.0,22.0,США,МД,Харфордский округ,1963.0,4.0,7.0,США,Калифорния,Глендейл,Джим,Мяч,,Джеймс Чандлер,,175.0,71.0,R,R,9/21/1907,6/17/1908,,ballji01,ballji01,ballj101,ballji01,ballji01
556,balsato01,,,1937.0,11.0,21.0,США,Нью-Йорк,Бруклин,,,,,,,Тони,Балса́мо,,Антони Фред,,185.0,74.0,R,R,4/14/1962,6/26/1962,,balsato01,balsato01,balst101,balsato01,balsato01
566,banisje01,,,1965.0,1.0,15.0,США,"Добро пожаловать в чат-бота для перевода! Я готов помочь вам перевести текст с английского на русский язык. Просто введите текст, который вы хотите перевести, и я предоставлю вам точный перевод.",Вэдерзфилд,,,,,,,Джефф,Банистер,,Джеффри Тодд,,200.0,74.0,R,R,7/23/1991,7/23/1991,Хьюстон,banisje01,banisje01,banij001,banisje01,banisje01
578,bannoji01,,,1871.0,5.0,5.0,США,МА,Аме́сбери,1948.0,3.0,24.0,США,НГ,Глен-Рок,Джимми,Баннон,,Джеймс Генри,Фоксий дедушка,160.0,65.0,R,R,6/15/1893,8/12/1896,,bannoji01,bannoji01,bannj101,bannoji01,bannoji01
587,barbebr02,,,1973.0,3.0,4.0,США,ОХ,Хамильтон,,,,,,,Брайан,Барбер,,Брайан Скотт,,175.0,73.0,R,R,8/12/1995,8/1/1999,,barbebr02,barbebr02,barbb002,barbebr02,barbebr02
601,barfocl01,,,1891.0,7.0,8.0,США,Ва,Ричмонд,1971.0,3.0,11.0,США,Калифорния,Высокий парк,Клайд,Барфут,,Клейд Рэймонд,Пешки,170.0,72.0,R,R,4/13/1922,5/24/1926,,barfocl01,barfocl01,barfc101,barfocl01,barfocl01
607,barkeke01,,,1975.0,7.0,26.0,США,Ва,Бристоль,,,,,,,Кевин,Баркер,,,,195.0,74.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",8/19/1999,,Вашингтон,barkeke01,barkeke01,barkk001,barkeke01,barkeke01
609,barkera01,,,1936.0,3.0,12.0,США,Западная Вирджиния,Мартинсбург,,,,,,,Рей,Баркер,,Реймонд Херрелл,Буди,192.0,72.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,9/13/1960,5/21/1967,,barkera01,barkera01,barkr102,barkera01,barkera01
614,barklre01,,,1912.0,9.0,19.0,США,ТХ,Чилдресс,2000.0,12.0,12.0,США,ТХ,Вако,красный,Баркли,,Джон Дункан,,160.0,71.0,R,R,9/2/1937,8/14/1943,,barklre01,barklre01,barkr101,barklre01,barklre01
635,barneri01,,,1959.0,7.0,21.0,США,ФЛ,Пальм-Бич,,,,,,,Богатство,Бернс,,Ричард Монро,,186.0,76.0,R,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",7/18/1982,9/25/1983,,barneri01,barneri01,barnr101,barneri01,barneri01
