film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
823,SOUTH WAIT,A Amazing Documentary of a Car And a Robot who must Escape a Lumberjack in An Abandoned Amusement Park,2006,1,,4,2.99,143,21.99,R,"Commentaries,Behind the Scenes",2006-02-15T04:03:42
825,SPEAKEASY DATE,A Lacklusture Drama of a Forensic Psychologist And a Car who must Redeem a Man in A Manhattan Penthouse,2006,1,,6,2.99,165,22.99,PG-13,"Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
838,STAGECOACH ARMAGEDDON,A Touching Display of a Pioneer And a Butler who must Chase a Car in California,2006,1,,5,4.99,112,25.99,R,"Trailers,Deleted Scenes",2006-02-15T04:03:42
850,STORY SIDE,A Lacklusture Saga of a Boy And a Cat who must Sink a Dentist in An Abandoned Mine Shaft,2006,1,,7,0.99,163,27.99,R,"Trailers,Behind the Scenes",2006-02-15T04:03:42
869,SUSPECTS QUILLS,A Emotional Epistle of a Pioneer And a Crocodile who must Battle a Man in A Manhattan Penthouse,2006,1,,4,2.99,47,22.99,PG,Trailers,2006-02-15T04:03:42
911,TRIP NEWTON,A Fanciful Character Study of a Lumberjack And a Car who must Discover a Cat in An Abandoned Amusement Park,2006,1,,7,4.99,64,14.99,PG-13,"Commentaries,Deleted Scenes",2006-02-15T04:03:42
915,TRUMAN CRAZY,A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery,2006,1,,7,4.99,92,9.99,G,"Trailers,Commentaries",2006-02-15T04:03:42
927,UPRISING UPTOWN,A Fanciful Reflection of a Boy And a Butler who must Pursue a Woman in Berlin,2006,1,,6,2.99,174,16.99,NC-17,"Trailers,Behind the Scenes",2006-02-15T04:03:42
964,WATERFRONT DELIVERANCE,A Unbelieveable Documentary of a Dentist And a Technical Writer who must Build a Womanizer in Nigeria,2006,1,,4,4.99,61,17.99,G,Behind the Scenes,2006-02-15T04:03:42
968,WEREWOLF LOLA,A Fanciful Story of a Man And a Sumo Wrestler who must Outrace a Student in A Monastery,2006,1,,6,4.99,79,19.99,G,"Trailers,Behind the Scenes",2006-02-15T04:03:42
982,WOMEN DORADO,A Insightful Documentary of a Waitress And a Butler who must Vanquish a Composer in Australia,2006,1,,4,0.99,126,23.99,R,"Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
991,WORST BANGER,A Thrilling Drama of a Madman And a Dentist who must Conquer a Boy in The Outback,2006,1,,4,2.99,185,26.99,PG,"Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
998,ZHIVAGO CORE,A Fateful Yarn of a Composer And a Man who must Face a Boy in The Canadian Rockies,2006,1,,6,0.99,105,10.99,NC-17,Deleted Scenes,2006-02-15T04:03:42
