country,name,percentage
"Да, я могу помочь вам с переводом. Просто предоставьте мне текст, который вы хотите перевести с английского на русский язык, и я сделаю это для вас.",Добро пожаловать в чат-бота-переводчика! Как я могу вам помочь?,8.6
К,Китайский,1.0
Да,Африканский,76.3
АВТ,Мбака,4.0
РТ,Европейско-сирийско-ливанский,1.0
АЗ,Добро пожаловать в чат-бота-переводчика! Как я могу вам помочь?,2.5
SRБ,Мон테네гро,0.9
ИР,Арабский,3.0
Сирия,Арабский,90.3
Ри,Мадура,7.5
МЯ,Кэрен,7.0
ПР,Американский,0.4
ДЖИ,сомали,60.0
"""ГНБ"" на русском языке означает ""Государственная пограничная служба"". Это название организации, отвечающей за управление государственной границей и обеспечение ее безопасности.",Европейский,1.0
РН,Бери Бери,4.3
ДЗ,Европейский,1.0
"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Татар,2.4
СД,Европейский,3.0
ММ,Туареги,10.0
ЕАК,Арабский,1.0
СЛБ,Полинезийский,4.0
"Okay, I will only provide translations without additional text or extra information.",нормандский французский,100.0
СН,Серар,17.0
"Пожалуйста, предоставьте текст для перевода.",Американские индейцы,5.0
МЯ,Рахайн,4.0
СД,Африканский,97.0
LB,Африканский,95.0
КГЗ,Добро пожаловать в чат-бота-переводчика! Как я могу вам помочь?,21.5
LS,Сото,99.7
"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Украинский,3.0
ВУ,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше желание или предоставьте дополнительную информацию.",4.0
РИМ,Чёрный Мор,40.0
SGП,Китайский,76.4
И,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести с английского на русский язык?",61.0
МНГ,Монгол,90.0
ЭФИ,Шанкелла,6.0
МОК,Европейский,0.06
ЦИ,Малинке,11.0
ЕАУ,Руанда,6.0
ПА,Западноиндийские,14.0
Ирак,Арабский,75.0
ФPOL,Китайский,12.0
A,Кельты,100.0
РН,Туареги,8.0
"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Чувашский,1.2
КАМ,Кири,11.0
Индия,Дравидийская,25.0
Новая Зеландия,маори,8.9
ИР,балочцы,2.0
СМЭ,Китайский,1.7
"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Рим,4.0
РАМ,армянский,93.0
МД,Добро пожаловать в чат-бота-переводчика! Как я могу вам помочь?,13.0
ЕАК,Лу,13.0
Австралия,Азиатский,4.0
ГР,Грецкий,98.0
МЯ,Шан,9.0
Да,Китайский,3.0
Тад,Добро пожаловать в чат-бота-переводчика! Как я могу вам помочь?,3.5
Новая Зеландия,Тихоокеанский островитянин,2.9
БХТ,Бхоте,50.0
ТМ,Казах,2.0
БИХ,Хорват,22.0
"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Башкир,0.9
ЕАУ,Исео,8.0
МЧ,Креол,27.0
RC,Китайский,14.0
OK,Малинке,30.0
С,Китайский,1.0
ЛВ,Добро пожаловать в чат-бота-переводчика! Как я могу вам помочь?,33.8
АВР,Тютси,19.0
СЛО,Хорват,3.0
СН,Европейско-либанский,1.0
К,"Конечно! Я могу помочь с переводом на вьетнамский язык. Пожалуйста, предоставьте текст, который нужно перевести.",5.0
СУД,Арабский,39.0
АВТ,Бая,34.0
ЦИ,Бауль,23.0
СК,Украинский,0.3
КГЗ,Киргизский,52.4
ГБ,Шотландский,9.6
ЭФИ,Гурадже,2.0
ЕАК,Камб,11.0
ИР,ギルキ・マザンダラニ,8.0
БЕРМ,Белый,34.1
Национальное центральное агентство,Европейский,34.1
"Да, я могу помочь вам с переводом. Просто предоставьте мне текст, который вы хотите перевести с английского на русский язык, и я сделаю это для вас.",Белору́сский,1.5
ГБГ,нормандский французский,100.0
Лаос,Лао Лум,68.0
БВИР,Индийский,3.4
В,Флеминг,55.0
A,Иранский,10.0
МХ,Микронезия,100.0
ПИТЦ,Призовая сумма,100.0
IЛ,Еврейский,82.0
ХЕЛКС,Белый,25.0
SRБ,Боснийский,1.8
SRБ,Венгерский,3.9
АВР,Двадцать,1.0
Ри,сунданский,14.0
ЭФИ,Афаре,4.0
МНЭ,Мон테네гро,43.0
ХР,Венгерский,0.5
ЭФИ,Сидамо,9.0
OK,Пеухл,40.0
"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Узбекский,71.4
НМИС,Кавказский,1.8
МАРТ,Китайский,5.0
МК,Цыгане,3.0
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",Добро пожаловать в чат-бота-переводчика! Как я могу вам помочь?,0.2
ЕАУ,Багису,5.0
Национальное центральное агентство,Уоллисий,9.0
ЕАУ,Карамёджонг,12.0
НАО,Науру,58.0
Кайм,Смешанный,40.0
Газа,Палестинский араб,99.4
СН,Фулани,17.0
МК,Серб,2.0
НЛ,Нидерландский,96.0
А,Хорват,0.3
ПР,чёрный,8.0
"""ГНБ"" на русском языке означает ""Государственная пограничная служба"". Это название организации, отвечающей за управление государственной границей и обеспечение ее безопасности.",Африканский,99.0
Фаркс,Скандинавский,100.0
РН,Фула,8.5
SP,сомали,85.0
АМСА,Кавказский,2.0
Афг,Таджик,25.0
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",Турецко,8.5
"Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Белору́сский,0.8
"Конечно! Я могу помочь вам перевести текст с английского на русский. Просто предоставьте мне текст, который вы хотите перевести, и я постараюсь сделать это как можно более точно и естественно звучащим по-русски. Желаю хорошего дня!",Индийский,5.0
МНЭ,Алянская,5.0
ПЛ,Польский,97.6
ТМ,Узбекский,9.0
УА,Украинский,73.0
УА,Еврейский,1.0
АЛ,Греки,3.0
GE,Грузинский,70.1
АМСА,Самоан,89.0
СМЭ,Хинди,37.0
ЛВ,Белору́сский,4.5
БРУ,Малайя,64.0
ПА,Индийский,6.0
КАМ,Африканский,13.0
"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",армянский,1.0
АНГ,Европейский,1.0
ГУАД,Китайский,5.0
По,Польский,4.1
ПЛ,Белору́сский,0.5
КАЗ,Казах,41.9
КДН,Инуиты,1.5
ЗВ,Африканский,98.0
КВТ,Иранский,4.0
"Да, я могу помочь вам с переводом. Просто предоставьте мне текст, который вы хотите перевести с английского на русский язык, и я сделаю это для вас.",Литва,80.1
Вафу,Полинезийский,100.0
АРЛ,"Берберы — это народ, проживающий в Северной Африке, главным образом в Марокко, Алжире, Тунисе и Ливии. Они говорят на берберском языке, который относится к амарасской подгруппе североафриканских берберских языков. Берберы имеют богатую историю и культуру, и их влияние можно увидеть во многих аспектах жизни в регионе.",97.0
ЕАУ,Ланги,6.0
СН,Тукулеур,9.0
МК,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше желание или предоставьте дополнительную информацию.",47.0
"Извините, но я не понимаю ваш запрос. Вы хотите, чтобы я перевел что-то с английского на русский? Пожалуйста, уточните ваш запрос, и я с радостью помогу вам.",Каракалпак,2.1
МОК,Индийский,0.08
ГГ,Африканский,99.8
СМЭ,Американский,2.6
УА,Добро пожаловать в чат-бота-переводчика! Как я могу вам помочь?,22.0
ЕР,Тигре Кунама,40.0
ЭФИ,сомали,6.0
МК,Турецкий,4.0
ИР,Азербайджанский,24.0
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",Рим,2.6
SGП,Малайя,14.9
ХОЧУ,Восточно-индийский,51.0
РАЗГУДИТЕЛЬНОЕ ВРЕМЯ,Малайя,10.0
Да,"Конечно! Я могу помочь с переводом на вьетнамский язык. Пожалуйста, предоставьте текст, который нужно перевести.",85.0
Че-з,чешский,94.4
КΟΣ,Серб,7.0
З,Европейский,1.1
WS,Европеанцы,7.0
ЛВ,Украинский,3.4
МНГ,Добро пожаловать в чат-бота-переводчика! Как я могу вам помочь?,2.0
ЦИ,Сенуфо,15.0
ЭК,Индийский,25.0
RB,Ботсвана,95.0
SGП,Индийский,6.4
Индия,Монгол,3.0
СЛБ,Микронезия,1.5
ГВАМ,Филиппинский,26.3
ОАЭ,Арабский и персидский,23.0
Кайм,чёрный,20.0
МЧ,Китайско-морицианский,3.0
ГБ,ирландский,2.4
"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который необходимо перевести.",Румынский,89.1
АЗ,Дагестанские народы,3.2
ГКА,Американский индейец,44.0
ЕАК,Календжин,12.0
БОЛ,Аймара,25.0
Че-з,Словацки,3.0
АВР,Хуту,80.0
КГЗ,"Я не могу перевести это предложение, потому что оно на английском языке. Пожалуйста, предоставьте текст для перевода на немецкий язык.",2.4
СЛО,Мусульманин,1.0
АВТ,Сара,10.0
МД,молдавский/румынский,64.5
Хонкс,Китайский,95.0
Афг,Хазара,19.0
RL,армянский,4.0
ЕАУ,Баганда,17.0
ОВ,Финн,1.1
БРН,Бахраини,63.0
БД,Бенгальский,98.0
ФPOL,"Извините, я не понимаю ваш запрос. Пожалуйста, уточните ваше желание или предоставьте дополнительную информацию.",10.0
Национальное центральное агентство,"Конечно! Я могу помочь с переводом на вьетнамский язык. Пожалуйста, предоставьте текст, который нужно перевести.",1.4
