film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
218,Обманщик был обманут,"Это была странная и таутологическая история о лосе и белке, которые в древние времена в Индии должны были построить себе мужа.",2006,1,,7,0.99,122,22.99,НЕПристойно для зрителей младше 17 лет,"Трейлеры, комментарии, удаленные сцены, за кадром",2006-02-15 04:03:42
230,ДЕНЬ ПАНИКИ,"Удивительное исследование характера бросковой дисковой метательной машины и сумасшедшей коровы, которая должна заточить мужчину в древней Индии.",2006,1,,7,2.99,107,20.99,"Добро пожаловать в Coral! Я могу помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.","Комментарии, За кадром",2006-02-15 04:03:42
272,"КОНТАКТ РЕЗА ""ЕЖЕГО СВЕТА""","Красивая нить из композитора и сумасшедшей коровы, которая должна спасти безумного наукака в яхте-спринтере",2006,1,,5,4.99,153,9.99,НЕПристойно для зрителей младше 17 лет,Удалённые сцены,2006-02-15 04:03:42
282,ВНУТРЕННЕЕ СОБЫТИЕ: ЗАВОЛНА,"Письмо от наблюдательного кондитера и женилователя, который должен построить лодку в Новом Орлеане",2006,1,,5,0.99,92,20.99,НЕПристойно для зрителей младше 17 лет,Трейлеры,2006-02-15 04:03:42
366,ЧУДЕСНАЯ ЧУСЬ,"""Инсайт"" или ""Бредовый сценарий безумного ученого и охотника, которые должны победить кондитера в Новом Орлеане""",2006,1,,3,0.99,93,29.99,"Добро пожаловать в Coral! Я могу помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.","Трейлеры, комментарии, позасъемниковые материалы",2006-02-15 04:03:42
368,Уйти от проблем,"Внимательный анализ характера сумасшедшей коровы и судебно-медицинского психолога, который должен победить акулу в мансатском пентхаусе.",2006,1,,7,2.99,84,20.99,R,"Удалённые сцены, закадровые моменты",2006-02-15 04:03:42
379,ЖАДНЫЕ РЕСНИЦЫ,"Затеяшный отражение акулы и повара, который должен погнаться за охотником в Канадских горах.",2006,1,,7,0.99,166,14.99,R,"Трейлеры, комментарии, удаленные сцены",2006-02-15 04:03:42
396,ВЕШЕНЬЕ ДИСТАНОВ,"Действительное приключение лодки и крокодила, которые должны построить обезьяну в Берлине",2006,1,,5,4.99,62,18.99,"Добро пожаловать в Coral! Я могу помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.","Трейлеры, комментарии, удаленные сцены",2006-02-15 04:03:42
401,Гарольд Француз,"Удивительная сага о сумоисте и студенте, которые должны опередить лося в пустыне Сахара.",2006,1,,6,0.99,168,10.99,НЕПристойно для зрителей младше 17 лет,"Комментарии, удалённые сцены, позади кадра",2006-02-15 04:03:42
403,Гарри Айдахо,Тяжелое время для технического писателя и феминистки в Калифорнии: они должны обогнать собаку по ходу дела.,2006,1,,5,4.99,121,18.99,R,"Комментарии, удаленные сцены",2006-02-15 04:03:42
418,Хоббит инопланетянин,"Эмоциональная драма мужа и девушки, которые должны превзойти композитора в первой пилотируемой космической станции.",2006,1,,5,0.99,157,27.99,R,Комментарии,2006-02-15 04:03:42
439,Негрызущий гадюка невозможно,"Удивительная история с фрисби и дантистом, который должен сразиться с композитором в старой Японии.",2006,1,,4,4.99,151,28.99,R,"Трейлеры, Удалённые сцены",2006-02-15 04:03:42
504,КВАИ В ПУТЬ БЕЗВОЗМЕРНОЙ,"Удивительная драма с участием машины и белки, которая должна преследовать машину в советской Грузии.",2006,1,,5,0.99,46,25.99,R,"Трейлеры, комментарии",2006-02-15 04:03:42
514,Солдаты Лебовски,"Прекрасное письмо от тайного агента и пионера, который должен преследовать астронавта в Древнем Китае.",2006,1,,6,2.99,69,17.99,R,"Комментарии, удаленные сцены",2006-02-15 04:03:42
521,ЛЖЕВОУДОБРАВЛЕНИЕ,"Быстрый обзор личности стоматолога и лося, которые должны победить композитора в первой пилотируемой космической станции.",2006,1,,7,4.99,147,28.99,НЕПристойно для зрителей младше 17 лет,"Комментарии, удалённые сцены, позади кадра",2006-02-15 04:03:42
539,Удача Опус,Унылое представление: лось и белка должны обогнать учителя в заплыве на акулу,2006,1,,7,2.99,152,21.99,НЕПристойно для зрителей младше 17 лет,"Трейлеры, комментарии, позасъемниковые материалы",2006-02-15 04:03:42
585,Моб Даффел,"Невероятный документальный фильм о фрисби и лодке, которые должны встретиться с мальчиком в Канадских Альпах.",2006,1,,4,0.99,105,25.99,"Добро пожаловать в Coral! Я могу помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я сделаю это для вас.",Трейлеры,2006-02-15 04:03:42
618,Выход резьбы,"А удивительное письмо от администратора базы данных и безумного ученого, которым им следует преследовать кошку в Калифорнии.",2006,1,,3,0.99,132,21.99,PG,"Трейлеры, комментарии, позасъемниковые материалы",2006-02-15 04:03:42
630,Ноттинг-Спеакаси,"Уважительный демонстрация мануального и женихов, которые должны найти официантку в Канадских Альпах",2006,1,,7,0.99,48,19.99,R,"Трейлеры, комментарии",2006-02-15 04:03:42
683,ЖАЛКИЙ ГРЕНЕТ,"Уныный панорама феминистки и лося, которые должны победить администратора базы данных в Нигерии",2006,1,,5,4.99,60,19.99,НЕПристойно для зрителей младше 17 лет,Комментарии,2006-02-15 04:03:42
706,Леди Луку,"А удивительная история о девочке и мальчике, которые должны бросить вызов композитору в Новом Орлеане",2006,1,,5,4.99,163,22.99,PG,"Комментарии, удалённые сцены, позади кадра",2006-02-15 04:03:42
728,ВУДЬИ РЕЮНИОНА,"Невероятный документальный фильм о администраторе базы данных и фрисби, который должен спасти сумасшедшего ученого в фабрике шариков",2006,1,,3,0.99,63,26.99,R,Комментарии,2006-02-15 04:03:42
739,Роки Уор,"Быстрый показ лисицы и исследователя, которые должны опередить безумного ученого в Нигерии",2006,1,,4,4.99,145,17.99,R,"Трейлеры, комментарии, позасъемниковые материалы",2006-02-15 04:03:42
766,САВАННАХ ТУН,"А удивительная история о астронавте и администраторе баз данных, которые должны преследовать тайного агента в Мексиканском заливе.",2006,1,,5,0.99,84,25.99,R,"Комментарии, удалённые сцены, позади кадра",2006-02-15 04:03:42
771,Скорпион Аполло,"""Удивительная документальный фильм о техническом писателе и муже, который должен встретить обезьяну в заброшенном аттракционе"".",2006,1,,3,4.99,137,23.99,НЕПристойно для зрителей младше 17 лет,"Комментарии, удаленные сцены",2006-02-15 04:03:42
772,МАРИОНЕ,"""Быстрый документальный фильм о техническом писателе и кондитере, которые должны сбежать от лося в подводной лодке""",2006,1,,4,2.99,80,24.99,PG,Удалённые сцены,2006-02-15 04:03:42
775,ОЧИТЫВАЕНИЕ В ЗАРАДУ В СЕАТЛЕ,"""Отражая мудрость крокодила и сумоиста, они встретились с техническим писателем в песках Сахары.""",2006,1,,4,4.99,110,18.99,R,Трейлеры,2006-02-15 04:03:42
790,ШУТНІК СВІЖОКРАСНИЙ,"В Берлине быстро развивалась история крокодила и акулы, которая должна была погрузить пионера.",2006,1,,6,0.99,67,22.99,R,Трейлеры,2006-02-15 04:03:42
803,АВТОСЛЕДОВАНИЕ СЛЕДОВАТЕЛЬНОЙ СИСТЕМЫ,"В стремительном рассказе о акуле и студенте, который должен встретиться с крокодилом в древней Китае.",2006,1,,7,4.99,179,29.99,R,"Трейлеры, комментарии, позасъемниковые материалы",2006-02-15 04:03:42
818,ЧЕГУКИЙ,"Тщательное исследование скучного персонажа: машина и муж, который должен опередить фрисби в первой пилотируемой космической станции.",2006,1,,4,4.99,180,17.99,НЕПристойно для зрителей младше 17 лет,"Комментарии, За кадром",2006-02-15 04:03:42
